product_id,product_name,category_id,base_price,is_discontinued
71,Sweet Croissant 071,5,2.59,0
72,Sweet Sauce 072,14,9.03,0
73,Premium Vegetables 073,10,23.55,0
74,Salted Beef 074,4,59.57,0
75,Traditional Espresso 075,13,17.12,0
76,Traditional Salad 076,15,12.31,0
77,Classic Green Tea 077,13,29.28,0
78,Natural Curry 078,15,14.96,0
79,Golden Candy 079,6,8.67,0
80,Salted Bread 080,5,10.49,0
81,Salted Soap 081,12,43.79,0
82,Salted Onion 082,7,12.94,0
83,Organic Mineral Water 083,1,32.15,0
84,Organic Carrot 084,7,13.73,0
85,Craft Bags 085,12,79.02,0
86,Organic Pretzels 086,11,28.16,0
87,Craft Carrot 087,7,3.98,0
88,Natural Dumplings 088,10,55.47,0
89,Dried Green Tea 089,13,12.98,0
90,Sweet Oregano 090,9,40.7,0
91,Craft Candy 091,6,44.87,0
92,Salted Cream 092,2,8.6,0
93,Craft Milk 093,2,16.12,0
94,Premium Candy 094,6,23.94,0
95,Classic Cream 095,2,29.21,0
96,Craft Bun 096,5,17.59,0
97,Natural Candy 097,6,43.85,0
98,Traditional Chips 098,11,10.24,0
99,Golden Beef 099,4,79.46,0
100,Fresh Lemonade 100,1,10.66,0
101,Premium Coffee 101,1,20.82,0
102,Sweet Potato 102,7,14.63,0
103,Smoked Milk 103,2,30.76,0
104,Dried Pizza 104,10,5.5,0
105,Craft Juice 105,1,18.4,0
106,Organic Napkins 106,12,15.41,0
107,Traditional Chips 107,11,14.85,0
108,Family Vinegar 108,14,27.81,0
109,Family Soap 109,12,4.26,0
110,Smoked Caramel 110,6,5.74,0
111,Smoked Popcorn 111,11,8.84,1
112,Organic Rice 112,8,6.95,0
113,Natural Onion 113,7,1.9,0
114,Salted Bread 114,5,10.02,0
115,Salted Soup 115,15,71.32,0
116,Salted Pepper 116,9,4.13,0
117,Natural Herring 117,3,45.92,0
118,Fresh Candy 118,6,22.63,0
119,Craft Butter 119,2,11.42,0
120,Traditional Bread 120,5,11.4,0
121,Golden Vinegar 121,14,31.09,0
122,Classic Soup 122,15,22.99,0
123,Imported Ketchup 123,14,22.16,0
124,Sweet Ketchup 124,14,37.27,0
125,Sweet Chips 125,11,21.03,0
126,Salted Dessert 126,10,5.29,0
127,Local Juice 127,1,32.49,0
128,Natural Juice 128,1,26.18,0
129,Imported Muffin 129,5,9.23,0
130,Sweet Bags 130,12,5.64,0
131,Dried Tea 131,1,8.82,0
132,Salted Cookie 132,6,42.5,0
133,Dried Herring 133,3,79.85,0
134,Organic Yogurt 134,2,7.31,0
135,Smoked Pizza 135,10,58.52,0
136,Fresh Lemonade 136,1,14.1,0
137,Sweet Tea 137,1,28.3,0
138,Traditional Lasagna 138,15,32.51,0
139,Dried Dessert 139,10,22.23,0
140,Classic Towels 140,12,72.05,0
141,Natural Sauce 141,14,40.0,0
142,Sweet Rice 142,8,11.74,0
143,Fresh Espresso 143,13,30.11,0
144,Fresh Potato 144,7,24.14,0
145,Smoked Salad 145,15,15.22,0
146,Fresh Yogurt 146,2,24.21,0
147,Traditional Bacon 147,4,70.79,0
148,Local Napkins 148,12,11.9,0
149,Premium Apple 149,7,21.08,0
150,Local Crackers 150,11,5.12,0
151,Craft Paprika 151,9,25.24,0
152,Dried Herring 152,3,47.61,0
153,Smoked Chicken 153,4,50.1,0
154,Family Chocolate 154,6,35.41,0
155,Dried Pretzels 155,11,9.17,0
156,Salted Chicken 156,4,14.46,0
157,Family Salmon 157,3,87.81,0
158,Natural Shrimp 158,3,63.72,0
159,Family Popcorn 159,11,6.19,0
160,Family Crackers 160,11,29.96,0
161,Classic Coffee 161,1,21.42,0
162,Salted Pizza 162,10,40.09,0
163,Premium Butter 163,2,33.01,0
164,Natural Pizza 164,10,52.91,0
165,Dried Stew 165,15,45.63,0
166,Classic Pepper 166,9,7.63,0
167,Natural Chocolate 167,6,9.53,0
168,Craft Apple 168,7,1.72,0
169,Smoked Vinegar 169,14,3.39,0
170,Organic Tuna 170,3,103.86,0
171,Fresh Croissant 171,5,23.48,0
172,Smoked Napkins 172,12,30.68,0
173,Sweet Chips 173,11,12.92,0
174,Imported Rice 174,8,34.97,0
175,Sweet Bags 175,12,15.97,0
176,Natural Cleaner 176,12,14.55,0
177,Family Herring 177,3,103.82,0
178,Salted Tuna 178,3,119.02,0
179,Fresh Cocoa 179,13,57.88,0
180,Smoked Salmon 180,3,49.03,0
181,Local Croissant 181,5,27.78,0
182,Premium Dessert 182,10,13.64,0
183,Traditional Cream 183,2,25.35,0
184,Traditional Salmon 184,3,15.43,0
185,Golden Yogurt 185,2,8.39,0
186,Imported Curry 186,15,34.81,0
187,Natural Mayonnaise 187,14,31.23,0
188,Craft Salad 188,15,65.33,0
189,Dried Carrot 189,7,23.42,0
190,Imported Potato 190,7,20.01,0
191,Imported Yogurt 191,2,26.57,0
192,Golden Dessert 192,10,18.24,0
193,Premium Cookie 193,6,35.05,0
194,Smoked Onion 194,7,13.09,0
195,Golden Tea 195,1,20.0,0
196,Traditional Dumplings 196,10,7.89,0
197,Premium Herring 197,3,75.68,0
198,Craft Candy 198,6,42.86,0
199,Sweet Bacon 199,4,92.96,0
200,Imported Juice 200,1,3.7,0
201,Golden Fries 201,10,56.38,0
202,Dried Bun 202,5,26.69,0
203,Premium Espresso 203,13,20.7,0
204,Traditional Cake 204,5,13.02,0
205,Classic Black Tea 205,13,52.7,0
206,Smoked Cookie 206,6,33.2,0
207,Dried Tuna 207,3,73.38,0
208,Classic Mayonnaise 208,14,22.34,0
209,Craft Biscuit 209,6,27.02,1
210,Natural Tuna 210,3,100.56,0
211,Premium Carrot 211,7,10.83,0
212,Traditional Pasta 212,8,25.47,0
213,Craft Curry 213,15,13.22,0
214,Smoked Cookie 214,6,14.79,0
215,Premium Tomato 215,7,9.08,0
216,Dried Ketchup 216,14,34.8,0
217,Traditional Flour 217,8,22.7,0
218,Organic Popcorn 218,11,14.71,0
219,Natural Butter 219,2,22.16,0
220,Traditional Bun 220,5,2.19,0
221,Golden Tuna 221,3,114.0,0
222,Golden Bags 222,12,29.05,0
223,Local Croissant 223,5,24.65,0
224,Sweet Pretzels 224,11,4.36,0
225,Traditional Bun 225,5,3.11,0
226,Salted Sausage 226,4,15.13,0
227,Dried Popcorn 227,11,19.45,0
228,Traditional Nuts 228,11,4.76,0
229,Craft Green Tea 229,13,9.07,0
230,Craft Soda 230,1,16.46,0
231,Dried Cocoa 231,13,44.89,0
232,Craft Basil 232,9,25.85,0
233,Imported Vegetables 233,10,48.27,0
234,Golden Sauce 234,14,39.25,0
235,Classic Nuts 235,11,4.94,0
236,Craft Apple 236,7,11.51,0
237,Dried Chicken 237,4,43.71,0
238,Local Carrot 238,7,23.06,1
239,Fresh Vegetables 239,10,21.56,0
240,Local Bread 240,5,25.21,0
241,Family Towels 241,12,33.62,0
242,Golden Milk 242,2,14.53,0
243,Premium Pepper 243,9,31.77,0
244,Classic Apple 244,7,14.94,0
245,Traditional Oregano 245,9,41.06,0
246,Family Cake 246,5,7.59,0
247,Local Croissant 247,5,9.89,0
248,Imported Chicken 248,4,74.04,0
249,Smoked Soap 249,12,30.87,0
250,Craft Ketchup 250,14,20.46,0
